abbreviation,full_name,city_and_country
ACUNHC,Abilene Christian University Natural History Collection,"Abilene, United States of America"
BM,"Natural History Museum, London","London, United Kingdom"
BRTC,Biodiversity Research and Teaching Collections Texas A&M University,"College Station, United States of America"
CTNRC,Centre for Thai National Reference Collections,"Bangkok, Thailand"
CUMV,Cornell University Museum of Vertebrates,"Ithaca, United States of America"
DM,Durban Natural Science Museum,"Durban, South Africa"
DZSJRP,"Universidade Estadual Paulista “Júlio de Mesquita Filho""","São José do Rio Preto, Brazil"
E. O. Wilson Biodiversity Laboratory Collection,E. O. Wilson Biodiversity Laboratory Collection at Gorongosa National Park,"Chitengo, Mozambique"
GEC,Grupo de Exploraciones Científicas,"Havana, Cuba"
GZNU,Guizhou Normal University,"Guizhou, China"
IADIZA,Instituto Argentino de Investigaciones de las Zonas Aridas,"Mendoza, Argentina"
IBUNAM (CNMA),"Colección de Mamíferos, Instituto de Biología, Universidad Nacional Autónoma de México","Mexico City, Mexico"
IOZCAS,"Institute of Zoology, Chinese Academy of Sciences","Beijing, China"
MAMU,"Macleay Museum, University of Sydney","Camperdown, Australia"
MCNM,"Museo Civico di Storia Naturale, Milan","Milan, Italy"
MG-ZV-M,Mammal Collection of the Museo Provincial de Ciencias Naturales “Dr. Ángel Gallardo”,"Rosario, Argentina"
MHN-UCa,Museo de Historia Natural de la Universidad de Caldas,"Manizales, Colombia"
MIZH,Museum and Zoological Institute of the University Halle,"Halle, Germany"
MNZ,"Museum of New Zealand, Te Papa Tongarewa","Wellington, New Zealand"
NMP,"National Museum (Natural History), Prague, Czech Republic","Prague, Czech Republic"
NMSL,"The National Museum of Sri Lanka, Colombo","Colombo, Sri Lanka"
NMZB,Natural History Museum of Zimbabwe,"Bulawayo, Zimbabwe"
NR,Naturhistoriska Riksmuseum,"Stockholm, Sweden"
OUMNH,Oxford University Museum of Natural History,"Oxford, United Kingdom"
PNM,National Museum of the Philippines,"Manila, Philippines"
RNHM,"Royal Natural History Museum, Stockholm","Stockholm, Sweden"
SGMT,State Georgian Museum,"Tbilisi, Georgia"
SNMB,Staatliches Naturhistorisches Museum Braunschweig,"Braunschweig, Germany"
UADBA,"Université d'Antananarivo, Département de Biologie animale","Antananarivo, Madagascar"
UFRRJ,"Coleção Adriano Lúcio Peracchi, Universidade Federal Rural do Rio de Janeiro","Rio de Janeiro, Brazil"
UIS-MHN-M,La Colección de Mamíferos del Museo de Historia Natural de la Universidad Industrial de Santander,"Bucaramanga, Colombia"
UMCZ,Zoological Collection of the University of Mandalay,"Mandalay, Myanmar"
ZIUZ,"Zoological Institute, Zagreb University","Zagreb, Croatia"
ZMZ,Zoologisches Museum Zürich,"Zürich, Germany"
